[AS-IS] L3,[AS-IS] L4,[AS-IS] L5,[AS-IS] L6,[TO-BE] L3,[TO-BE] L4,[TO-BE] L5,[TO-BE] L6,추천 주체,전략 사유
채용,채용계획,채용 계획 수립(경영계획),전체 채용규모 산정,채용,채용계획,채용 수요 조사 및 확정,Workday 내 직군별 과거 채용 데이터 추출,Digital Worker,시스템 리포트 기반 기초 데이터 확보
채용,채용계획,채용 계획 수립(경영계획),전체 채용규모 산정,채용,채용계획,채용 수요 조사 및 확정,전사 채용 규모 가이드라인 확정,HR,경영진 전략 목표 기반의 정성적 의사결정
채용,채용계획,채용 계획 수립(경영계획),팀별 채용규모 확인,채용,채용계획,부서별 수요 조사 운영,부서별 인력 수요 조사 메일 발송,Digital Worker,템플릿 기반 대량 발송
채용,채용계획,채용 계획 수립(경영계획),팀별 채용규모 확인,채용,채용계획,부서별 수요 조사 운영,회신된 부서별 채용 희망 인원 취합,Digital Worker,데이터 병합 작업
채용,채용계획,채용 계획 수립(경영계획),팀별 채용규모 확인,채용,채용계획,부서별 수요 조사 운영,수요 인원 대 재무 예산 정합성 대조,Digital Worker,재무 시스템 데이터와의 기계적 수치 대조
채용,채용 후속조치,입사 및 온보딩,입사발령(Workday),채용,채용 후속조치,Workday 고용 프로세스 실행,입사자 증빙 서류(계좌/학위 등) 최종 대조,SSC,원본 서류와 시스템 입력 데이터 육안 확인
채용,채용 후속조치,입사 및 온보딩,입사발령(Workday),채용,채용 후속조치,Workday 고용 프로세스 실행,Workday 개인정보 및 발령 데이터 입력,Digital Worker,확정 데이터의 시스템 적재
채용,채용 후속조치,입사 및 온보딩,입사발령(Workday),채용,채용 후속조치,Workday 고용 프로세스 실행,Workday 최종 고용(Hire) 승인,HR,인사권자의 최종 승인 의사결정
인력운영,인력이동,사내 Job Posting,사업부문(부서별) J/P 부서 수요 취합,인력운영,인력이동,J/P(Job Posting) 운영,Workday 기반 결원 부서 현황 추출,Digital Worker,시스템 내 미충원 TO 리스트 확보
인력운영,인력이동,사내 Job Posting,J/P 운영 타당성 검토,인력운영,인력이동,J/P(Job Posting) 운영,J/P 오픈 포지션 리스트 확정,HR,전사 전략 기반 전배 허용 부서 판단
인력운영,인력이동,사내 Job Posting,지원자 지원 자격 검토,인력운영,인력이동,J/P(Job Posting) 운영,Workday 내 근속/고과 데이터 기반 자격 필터링,Digital Worker,규정 위반자 자동 탈락 처리
인력운영,인력이동,사내 Job Posting,전배발령,인력운영,인력이동,J/P(Job Posting) 운영,Workday 인사 이동(Job Change) 기안,Digital Worker,확정된 전배 데이터를 시스템에 매핑
인력운영,인력이동,사내 Job Posting,전배발령,인력운영,인력이동,J/P(Job Posting) 운영,전출/전입 부서장 최종 합의안 확정,HR,부서장 간의 이해관계 조율(Handoff 합의)
인력운영,휴복직,휴직,휴직 신청,인력운영,휴복직,휴직 관리,Workday 휴직 신청 가이드 챗봇 발송,Digital Worker,반복적 질의에 대한 자동 응대
인력운영,휴복직,휴직,"휴직 적정성 및 일정, 서류 검토",인력운영,휴복직,휴직 관리,Workday 휴직 증빙 서류 육안 대조,SSC,진단서 등 원본 서류의 진위여부 패키지 확인
인력운영,휴복직,휴직,"휴직 적정성 및 일정, 서류 검토",인력운영,휴복직,휴직 관리,특이 케이스 휴직 면담 결과 확정,HR,예외 사항에 대한 정성적 판단 및 승인
인력운영,휴복직,휴직,휴직 행정사항 안내,인력운영,휴복직,휴직 관리,Workday 휴직 발령 상태 등록,Digital Worker,최종 승인에 따른 기계적 상태 변경
제도,업적평가,업적평가 운영 / 임직원 소통,평가일정 전사 공지,제도,업적평가,평가 운영 관리,당해년도 평가 타임라인 확정,HR,조직 일정과 맞춘 전략적 스케줄링
제도,업적평가,업적평가 운영 / 임직원 소통,평가일정 전사 공지,제도,업적평가,평가 운영 관리,Workday 평가 모듈 오픈 알림 발송,Digital Worker,시스템 기능을 활용한 일괄 공지
제도,업적평가,업적평가 운영 / 임직원 소통,부서장 평가 및 평가의견 입력,제도,업적평가,평가 운영 관리,평가 미완료자 리스트 추출 및 독려,Digital Worker,실시간 진행률 데이터 기반의 반복적 푸시
